时间戳     方位       距离        俯仰       高度         速度
1344876    13.0952    2995.31     1.3181     68.9014      12.0136
1344876    12.7247    2514.44     5.7296     251.0270     1.3652
1347664    13.4132    2970.75     1.6442     85.2404      12.0136
1361604    13.2422    2800.28     1.5252     74.5341      12.0136
1372756    13.2995    2659.34     1.9218     89.1823      12.0136
1375544    12.9949    2633.93     1.9298     88.6977      12.0136
1378332    13.4399    2586.23     2.0538     92.6861      12.0136
1381120    13.2768    2563.51     2.6945     120.5120     12.0136
1383908    13.4080    2537.87     2.6140     115.7450     12.0136
1386696    14.1490    2490.66     3.0035     130.5050     12.0136
1389484    13.2462    2465.93     2.1107     90.8218      12.0136
1392272    13.2970    2419.17     2.3749     100.2440     12.0136
1395060    14.3864    1846.10     -0.6349    -20.4560     0.8191
1395060    13.4406    2394.01     2.5583     106.8590     11.7406
1397848    13.4204    2369.48     2.5128     103.8820     12.0136
1400636    13.5332    647.60      -2.1958    -24.8129     -0.8191
1400636    13.2770    2322.58     2.1207     85.9448      12.0136
1403424    15.2914    623.57      -2.5645    -27.9012     -1.0921
1403424    13.4660    2306.87     2.5260     101.6720     12.0136
1406212    13.3403    2278.05     2.6776     106.4200     12.0136
1409000    13.1161    2248.51     2.3896     93.7489      12.0136
1411788    13.2887    2208.44     2.7131     104.5350     12.0136
1414576    13.3095    2153.72     2.5792     96.9195      12.0136
1417364    13.2210    2138.94     2.4251     90.5052      12.0136
1420152    14.2810    1485.27     -0.5226    -13.5464     0.8191
1422940    12.9965    2079.33     2.3278     84.4566      12.0136
1422940    15.2564    6545.62     0.9929     113.4240     -50.2388
1422940    14.9552    8467.13     12.9681    1900.0900    -90.2661
1425728    13.0343    2039.23     2.5743     91.5911      12.0136
1428516    11.9652    433.48      -4.9965    -37.7539     1.0921
1428516    13.2668    2009.91     2.4078     84.4389      12.0136
1431304    13.7352    1969.75     2.7712     95.2323      12.0136
1434092    13.4369    1939.88     2.4181     81.8462      12.0136
1436880    13.0649    1899.09     1.9630     65.0507      12.0136
1439668    13.0873    1871.77     2.7333     89.2595      11.7406
1442456    15.9087    765.97      -2.0654    -27.6061     -1.0921
1442456    14.2347    1484.11     -0.6900    -17.8723     -0.8191
1442456    12.9921    1821.28     1.3251     42.1183      12.0136
1453608    14.3917    1461.52     -0.5416    -13.8158     -0.8191
1453608    13.3118    1702.40     3.4535     102.5500     12.0136
1456396    13.5445    1674.40     3.9241     114.5880     12.0136
1459184    13.6609    1634.12     3.4045     97.0421      12.0136
1461972    13.4286    1604.90     3.7531     105.0520     12.0136
1464760    13.3275    12038.00    -0.4264    -89.5895     -0.8191
1464760    13.3785    1575.28     3.3069     90.8693      12.0136
1467548    13.4830    1534.31     3.3737     90.2912      12.0136
1470336    13.5010    528.80      -0.2570    -2.3718      -9.0102
1470336    13.1862    1506.45     3.6592     96.1447      11.7406
1473124    11.8296    548.23      1.9032     18.2074      2.1843
1473124    12.0470    548.78      1.5669     15.0061      2.1843
1473124    13.4449    1466.48     3.7109     94.9140      11.7406
