Frame,t_ms,Az_deg,El_deg,R_m,V_m_s
322,950948,9.240,26.280,4434.0,92.80
323,951112,9.110,26.240,4445.9,92.80
324,951276,8.990,26.200,4457.8,92.80
325,951440,8.860,26.160,4469.7,92.80
326,951604,8.730,26.120,4481.6,92.80
327,951768,8.610,26.080,4493.6,92.80
328,951932,8.480,26.040,4505.6,92.80
329,952096,8.360,26.000,4517.6,92.80
330,952260,8.230,25.960,4529.6,92.70
331,952424,8.110,25.920,4541.6,92.70
332,952588,7.990,25.880,4553.7,92.70
333,952752,7.870,25.840,4565.7,92.70
334,952916,7.740,25.800,4577.8,92.70
335,953080,7.620,25.760,4589.9,92.70
336,953244,7.510,25.720,4602.0,92.70
337,953408,7.390,25.680,4614.1,92.70
338,953572,7.270,25.640,4626.3,92.70
339,953736,7.150,25.600,4638.4,92.70
340,953900,7.040,25.560,4650.6,92.70
341,954064,6.920,25.520,4662.8,92.70
342,954228,6.800,25.480,4674.9,92.60
343,954392,6.690,25.440,4687.2,92.60
344,954556,6.580,25.400,4699.4,92.60
345,954720,6.460,25.360,4711.6,92.60
346,954884,6.350,25.320,4723.9,92.60
347,955048,6.240,25.280,4736.1,92.60
348,955212,6.130,25.240,4748.4,92.60
349,955376,6.020,25.200,4760.7,92.60
350,955540,5.910,25.160,4773.0,92.60
351,955704,5.800,25.120,4785.3,92.60
352,955868,5.690,25.080,4797.7,92.60
353,956032,5.580,25.040,4810.0,92.60
354,956196,5.470,25.000,4822.4,92.50
393,962592,1.580,24.100,3740.2,108.10
394,962756,1.500,24.100,3757.2,107.90
395,962920,1.420,24.090,3774.2,107.80
396,963084,1.330,24.090,3791.2,107.70
397,963248,1.250,24.080,3808.1,107.60
398,963412,1.170,24.080,3825.0,107.50
399,963576,1.090,24.070,3842.0,107.40
