序号,波位号,北斗时间戳,时间戳(ms),方位(度),距离(m),俯仰(度),高度(m),径向速度(m/s),信噪比,RCS,宽窄脉冲(0宽1窄),俯仰波束,本波位目标数,是否有效点
2035,11,992276,992276,57.8028,4773.41,8.4020,697.48,-1.3652,21,8.774250e+00,0,1,3,1
2036,12,992440,992440,64.0623,3691.22,2.8363,182.65,-9.2833,18,1.976110e+00,0,0,3,1
2037,12,992440,992440,66.3351,5317.03,3.9249,363.95,-4.6416,22,2.107940e+01,0,1,3,1
2038,12,992440,992440,62.9646,3569.57,11.0599,684.77,1.9113,21,3.103880e+00,0,2,3,1
2039,13,992604,992604,0.0000,0.00,0.0000,0.00,0.0000,0,0.000000e+00,0,0,0,0
2040,14,992768,992768,78.3293,1648.57,-0.5246,-15.09,-3.5495,21,1.170950e-02,1,0,1,1
2041,15,992932,992932,80.1986,1846.93,1.2675,40.86,-11.7406,21,3.734220e-02,1,0,1,1
2042,16,993096,993096,88.6642,1941.86,0.0538,1.82,22.1160,15,3.378230e-02,1,0,1,1
2043,0,993260,993260,0.0000,0.00,0.0000,0.00,0.0000,0,0.000000e+00,0,0,0,0
2044,1,993424,993424,11.5383,448.76,4.1775,32.69,-8.4642,26,7.446830e-05,1,1,3,1
2045,1,993424,993424,11.5577,527.51,4.0729,37.47,-8.4642,13,9.249160e-06,1,1,3,1
2046,1,993424,993424,11.2275,842.52,5.4847,80.53,-9.5563,24,3.428930e-04,1,1,3,1
2047,2,993588,993588,12.2639,448.14,4.1891,32.74,-8.4642,23,1.845360e-05,1,0,4,1
2048,2,993588,993588,12.0366,435.01,3.7094,28.14,-8.4642,19,1.231390e-05,1,1,4,1
2049,2,993588,993588,11.6840,854.48,5.8138,86.55,-9.2833,21,2.020170e-04,1,1,4,1
2050,2,993588,993588,16.1975,1889.55,2.4877,82.02,-11.7406,24,4.795300e-02,0,1,4,1
2051,3,993752,993752,21.9238,2753.03,4.4439,213.31,4.6416,19,2.077540e-01,0,1,1,1
2052,4,993916,993916,28.3629,1334.34,-2.1023,-48.95,0.8191,25,2.271530e-01,1,0,15,1
2053,4,993916,993916,26.2745,1443.34,-0.9952,-25.07,-4.3686,17,7.959030e-01,1,0,15,1
2054,4,993916,993916,26.2080,1457.73,-0.6787,-17.27,0.5461,60,1.000000e+02,0,0,15,1
2055,4,993916,993916,26.4903,2489.27,-0.7035,-30.57,-1.6382,24,1.456750e+01,0,0,15,1
2056,4,993916,993916,26.0467,2513.92,-0.1145,-5.02,-22.1160,15,1.654720e+00,0,0,15,1
2057,4,993916,993916,24.4776,3859.01,-0.4063,-27.36,-40.6825,3,3.681170e+00,0,0,15,1
2058,4,993916,993916,24.6476,3931.20,-0.0012,-0.08,-0.5461,59,1.000000e+02,0,0,15,1
2059,4,993916,993916,22.6368,5109.19,0.1408,12.56,5.7338,23,1.000000e+02,0,0,15,1
2060,4,993916,993916,23.7763,5894.69,-0.0827,-8.51,0.5461,58,1.000000e+02,0,0,15,1
2061,4,993916,993916,23.7079,7605.28,-0.0764,-10.14,1.0921,25,1.000000e+02,0,0,15,1
2062,4,993916,993916,25.2668,8005.12,0.2644,36.94,-3.8225,20,1.000000e+02,0,0,15,1
2063,4,993916,993916,28.0320,9708.94,0.0080,1.36,-3.0034,25,1.000000e+02,0,0,15,1
2064,4,993916,993916,24.3628,11439.00,0.9916,197.97,-0.5461,52,1.000000e+02,0,0,15,1
2065,4,993916,993916,22.9731,2776.86,6.8617,331.76,9.0102,16,1.577920e-01,0,1,15,1
2066,4,993916,993916,22.5825,3570.73,5.5960,348.19,53.7883,16,6.406200e-01,0,1,15,1
2067,5,994080,994080,31.4094,361.62,4.8920,30.84,21.8430,16,2.203960e-06,1,0,2,1
2068,5,994080,994080,33.7671,2608.90,5.3800,244.61,-3.2764,19,7.962470e-02,0,1,2,1
2069,6,994244,994244,0.0000,0.00,0.0000,0.00,0.0000,0,0.000000e+00,0,0,0,0
2070,7,994408,994408,37.0664,1437.75,-0.9374,-23.52,3.5495,18,3.808360e-02,1,0,19,1
2071,7,994408,994408,37.5531,1505.61,-1.8206,-47.83,66.8941,4,3.380700e-03,1,0,19,1
2072,7,994408,994408,40.7193,1727.73,-1.2596,-37.98,4.6416,22,9.870550e-02,1,0,19,1
2073,7,994408,994408,39.1466,1772.74,-0.8752,-27.08,54.8804,5,1.359770e-02,1,0,19,1
2074,7,994408,994408,43.7242,1916.04,-0.9292,-31.07,0.8191,42,9.550720e+00,1,0,19,1
2075,7,994408,994408,40.6939,2202.81,-0.4303,-16.54,-42.3207,9,6.011360e-02,1,0,19,1
2076,7,994408,994408,41.8371,2249.04,0.8624,33.85,22.9351,11,4.568230e-02,1,0,19,1
2077,7,994408,994408,39.4215,2330.16,-0.6025,-24.50,1.3652,29,2.403790e+00,1,0,19,1
2078,7,994408,994408,39.9205,2538.80,-0.2633,-11.67,-0.5461,59,1.000000e+02,0,0,19,1
2079,7,994408,994408,39.8268,2632.92,-0.0887,-4.08,-41.5016,7,3.646550e+00,0,0,19,1
2080,7,994408,994408,43.3753,5032.26,0.0500,4.39,-3.8225,24,5.756730e+01,0,0,19,1
2081,7,994408,994408,42.8356,5198.84,-0.1436,-13.03,0.8191,34,1.000000e+02,0,0,19,1
2082,7,994408,994408,37.4415,6764.28,-0.6199,-73.19,-7.0990,13,1.432250e+01,0,0,19,1
2083,7,994408,994408,41.3051,7435.13,1.7346,225.06,13.6519,18,5.309640e+01,0,0,19,1
2084,7,994408,994408,36.4157,9112.90,-0.0011,-0.18,-0.5461,58,1.000000e+02,0,0,19,1
2085,7,994408,994408,39.1613,9499.77,0.1208,20.04,1.0921,23,1.000000e+02,0,0,19,1
2086,7,994408,994408,41.9666,10224.00,-0.2123,-37.88,1.3652,25,1.000000e+02,0,0,19,1
2087,7,994408,994408,38.8965,10718.40,0.0850,15.89,0.5461,55,1.000000e+02,0,0,19,1
2088,7,994408,994408,39.5005,2393.85,13.4654,557.42,2.7304,18,5.356930e-02,0,2,19,1
2089,8,994572,994572,47.3691,599.05,3.1709,33.14,27.5767,8,6.200760e-06,1,0,18,1
2090,8,994572,994572,46.5057,1250.03,-1.4161,-30.89,0.8191,45,3.257620e-01,1,0,18,1
2091,8,994572,994572,47.8779,1292.21,-1.6162,-36.45,-0.8191,39,1.630100e-01,1,0,18,1
2092,8,994572,994572,48.1198,1321.33,-1.5870,-36.59,0.8191,42,2.821740e-01,1,0,18,1
2093,8,994572,994572,43.9700,1819.41,0.9101,28.90,24.3003,6,2.588600e-03,1,0,18,1
2094,8,994572,994572,43.8974,1912.75,-1.2438,-41.52,-0.8191,44,8.636170e+00,1,0,18,1
2095,8,994572,994572,44.6743,1963.86,-1.1219,-38.45,-1.0921,23,7.709800e-02,1,0,18,1
2096,8,994572,994572,48.2911,1988.68,-0.7937,-27.55,-49.1467,9,3.483200e-03,1,0,18,1
2097,8,994572,994572,43.4320,2158.61,1.1894,44.81,33.8566,13,2.425170e-02,1,0,18,1
2098,8,994572,994572,46.2852,4122.58,0.7363,52.98,-41.7747,11,8.055740e-01,0,0,18,1
2099,8,994572,994572,45.8514,4170.91,1.4686,106.89,10.9215,14,1.894300e+00,0,0,18,1
2100,8,994572,994572,44.6419,4217.03,1.6992,125.05,-4.6416,16,3.429170e+00,0,0,18,1
2101,8,994572,994572,44.2036,4267.23,0.8170,60.85,-1.3652,14,2.171830e+00,0,0,18,1
2102,8,994572,994572,44.1543,5155.05,-0.1768,-15.90,0.5461,53,1.000000e+02,0,0,18,1
2103,8,994572,994572,43.0835,5319.12,0.9007,83.62,7.9181,16,1.034640e+01,0,0,18,1
2104,8,994572,994572,43.4093,10823.30,-0.0416,-7.86,-1.3652,18,1.000000e+02,0,0,18,1
2105,8,994572,994572,47.0444,3331.29,5.3991,313.45,4.9147,18,1.022800e+00,0,1,18,1
2106,8,994572,994572,44.8195,2352.95,36.9953,1415.89,11.5172,22,4.713310e-01,0,7,18,1
2107,9,994736,994736,48.5319,2108.01,-1.2204,-44.90,0.5461,50,5.761670e+01,1,0,2,1
2108,9,994736,994736,47.6697,3331.46,4.6421,269.62,4.9147,20,1.527530e+00,0,0,2,1
2109,10,994900,994900,55.9881,1122.91,-0.9235,-18.10,26.4846,14,5.736940e-04,1,0,2,1
2110,10,994900,994900,55.9687,2921.67,0.2021,10.30,12.5597,20,5.557660e-01,0,0,2,1
2111,11,995064,995064,60.6218,4290.46,3.4557,258.62,-12.0136,19,9.431380e+00,0,0,3,1
2112,11,995064,995064,58.1786,3690.73,9.2869,595.61,-7.6450,16,1.523460e+00,0,1,3,1
2113,11,995064,995064,58.1113,4724.67,7.2374,595.22,-2.1843,25,1.733210e+01,0,1,3,1
2114,12,995228,995228,64.3423,5255.46,3.5858,328.69,-5.1877,26,1.000000e+02,0,0,3,1
2115,12,995228,995228,65.7675,3736.91,3.8766,252.65,1.6382,18,3.248190e+00,0,1,3,1
2116,12,995228,995228,67.3162,5326.26,3.2785,304.61,-6.2798,21,1.936250e+01,0,1,3,1
2117,13,995392,995392,0.0000,0.00,0.0000,0.00,0.0000,0,0.000000e+00,0,0,0,0
2118,14,995556,995556,76.0110,2850.96,-0.1429,-7.11,22.1160,18,8.238130e-01,0,0,2,1
2119,14,995556,995556,75.1958,2369.90,12.6058,517.21,-2.4573,25,1.551250e-01,0,2,2,1
2120,15,995720,995720,80.6145,1865.20,1.3660,44.46,5.7338,26,6.689460e-02,1,0,1,1
2121,16,995884,995884,91.4320,3232.89,0.0143,0.81,1.6382,34,3.116100e+01,0,0,1,1
2122,0,996048,996048,0.0000,0.00,0.0000,0.00,0.0000,0,0.000000e+00,0,0,0,0
2123,1,996212,996212,13.6161,455.80,9.0678,71.84,-9.5563,15,4.895560e-06,1,1,1,1
2124,2,996376,996376,15.0060,1938.17,2.6451,89.45,-11.7406,24,6.763030e-01,1,0,1,1
2125,3,996540,996540,16.5605,1938.52,3.3596,113.60,-12.0136,14,7.044490e-03,1,1,1,1
2126,4,996704,996704,26.5037,357.63,-1.6274,-10.16,22.3890,15,2.577480e-06,1,0,17,1
2127,4,996704,996704,27.9227,1315.41,-1.2890,-29.59,0.8191,24,5.155150e-01,1,0,17,1
2128,4,996704,996704,26.1674,1457.92,-0.6590,-16.77,1.9113,25,9.982560e-01,0,0,17,1
2129,4,996704,996704,25.8310,1506.78,-0.7861,-20.67,-44.5050,14,8.636970e-02,0,0,17,1
2130,4,996704,996704,25.9602,2442.75,-0.5979,-25.49,22.3890,15,1.388030e+00,0,0,17,1
2131,4,996704,996704,26.1739,2466.30,-0.4290,-18.47,20.4778,9,5.050470e-01,0,0,17,1
2132,4,996704,996704,25.7284,2490.29,-0.1516,-6.59,-31.1262,7,3.106620e-01,0,0,17,1
2133,4,996704,996704,24.6779,3931.19,-0.0009,-0.06,-0.5461,57,1.000000e+02,0,0,17,1
2134,4,996704,996704,22.4075,5125.33,0.5833,52.18,4.6416,18,8.025820e+01,0,0,17,1
2135,4,996704,996704,23.7672,5894.68,-0.0865,-8.90,0.5461,58,1.000000e+02,0,0,17,1
2136,4,996704,996704,25.6236,6886.03,0.1275,15.32,0.8191,24,1.000000e+02,0,0,17,1
2137,4,996704,996704,27.9914,7121.69,-0.2380,-29.59,-50.2388,12,1.000000e+02,0,0,17,1
2138,4,996704,996704,25.0564,8005.34,0.2940,41.07,3.8225,22,1.000000e+02,0,0,17,1
2139,4,996704,996704,26.3241,8968.76,0.3093,48.42,3.2764,18,1.000000e+02,0,0,17,1
2140,4,996704,996704,27.3420,9711.80,-0.0522,-8.85,0.8191,24,1.000000e+02,0,0,17,1
2141,4,996704,996704,24.2771,11439.00,1.0248,204.58,-0.5461,53,1.000000e+02,0,0,17,1
2142,4,996704,996704,25.4846,2706.62,4.7622,224.71,0.8191,24,3.936200e-01,0,1,17,1
2143,5,996868,996868,29.3514,9814.66,7.6244,1302.20,4.9147,15,7.449860e+01,0,1,1,1
2144,6,997032,997032,36.0566,11464.10,0.4509,90.23,-5.7338,20,1.000000e+02,0,0,2,1
2145,6,997032,997032,35.7766,2538.40,6.1979,274.05,7.0990,24,2.034390e-01,0,1,2,1
2146,7,997196,997196,40.7045,307.27,4.7840,25.63,7.0990,14,5.420260e-07,1,0,18,1
2147,7,997196,997196,37.0998,1486.20,-0.1058,-2.74,69.8975,9,1.120600e-02,1,0,18,1
2148,7,997196,997196,37.3675,1508.01,-1.0506,-27.65,43.4129,9,1.355420e-02,1,0,18,1
2149,7,997196,997196,39.6688,1778.68,-1.5189,-47.15,-10.6484,12,5.629810e-02,1,0,18,1
2150,7,997196,997196,40.8569,2202.91,-0.1280,-4.92,-63.8907,10,5.637920e-02,1,0,18,1
2151,7,997196,997196,38.6507,2327.10,-0.8514,-34.58,-2.4573,21,5.448940e-01,1,0,18,1
2152,7,997196,997196,39.4662,1746.18,-1.1891,-36.24,1.9113,24,2.675160e+00,0,0,18,1
2153,7,997196,997196,39.6992,1793.87,-0.8254,-25.84,-44.7781,8,6.794140e-02,0,0,18,1
2154,7,997196,997196,39.8885,2538.74,-0.2496,-11.06,-0.5461,58,1.000000e+02,0,0,18,1
2155,7,997196,997196,43.0291,5037.34,0.5302,46.61,-8.4642,18,1.229000e+01,0,0,18,1
2156,7,997196,997196,41.7474,5197.19,-0.1046,-9.49,0.8191,32,1.000000e+02,0,0,18,1
2157,7,997196,997196,39.7215,7405.52,1.0314,133.30,14.7440,18,5.463120e+01,0,0,18,1
2158,7,997196,997196,36.4053,9112.88,0.0142,2.26,0.5461,59,1.000000e+02,0,0,18,1
2159,7,997196,997196,39.4399,9499.44,0.3337,55.32,1.0921,23,1.000000e+02,0,0,18,1
2160,7,997196,997196,38.9381,10220.10,-0.1488,-26.54,1.6382,26,1.000000e+02,0,0,18,1
2161,7,997196,997196,38.8604,10718.40,0.0885,16.55,0.5461,54,1.000000e+02,0,0,18,1
2162,7,997196,997196,38.5930,2106.94,12.0462,439.72,6.0068,15,1.100670e-02,0,2,18,1
2163,7,997196,997196,40.2208,2354.35,31.4193,1227.32,-11.5172,27,3.160810e+00,0,6,18,1
2164,8,997360,997360,45.9811,480.80,0.4888,4.10,67.1671,9,1.517090e-06,1,0,18,1
2165,8,997360,997360,44.3013,546.91,2.2307,21.29,58.9760,12,4.479320e-06,1,0,18,1
2166,8,997360,997360,43.3447,576.92,5.8814,59.12,18.5665,7,2.004120e-06,1,0,18,1
2167,8,997360,997360,45.7013,1267.23,-1.7782,-39.32,-0.8191,40,1.216930e-01,1,0,18,1
2168,8,997360,997360,48.8792,1317.54,-1.6886,-38.82,-0.8191,39,1.378870e-01,1,0,18,1
2169,8,997360,997360,43.9830,1912.92,-1.2334,-41.18,0.8191,45,9.245250e+00,1,0,18,1
2170,8,997360,997360,46.0191,1964.04,0.1373,4.71,-20.7508,10,2.825890e-03,1,0,18,1
2171,8,997360,997360,42.7803,1987.30,0.7110,24.66,20.2047,11,3.470800e-03,1,0,18,1
2172,8,997360,997360,48.1646,2111.99,-1.2918,-47.61,-1.0921,35,1.416340e+00,1,0,18,1
2173,8,997360,997360,41.3205,1770.96,-0.3753,-11.60,13.3788,9,3.862310e-03,0,0,18,1
2174,8,997360,997360,41.3480,2632.90,1.2488,57.38,65.2559,7,7.974060e-02,0,0,18,1
2175,8,997360,997360,46.6122,4550.05,-1.7952,-142.54,11.7406,10,1.416670e+00,0,0,18,1
2176,8,997360,997360,47.0510,5079.53,0.0541,4.80,0.5461,51,1.000000e+02,0,0,18,1
2177,8,997360,997360,44.1971,5132.15,-0.3257,-29.18,-0.8191,37,1.000000e+02,0,0,18,1
2178,8,997360,997360,40.8807,5174.64,-0.3606,-32.57,-0.5461,51,1.000000e+02,0,0,18,1
2179,8,997360,997360,45.3633,10607.50,-0.2456,-45.47,-0.5461,53,1.000000e+02,0,0,18,1
2180,8,997360,997360,44.8712,10770.70,-0.2616,-49.18,0.8191,18,1.000000e+02,0,0,18,1
2181,8,997360,997360,46.9037,3256.62,7.4340,421.35,1.9113,19,1.238530e+00,0,1,18,1
2182,9,997524,997524,49.5520,2922.38,-0.1176,-6.00,0.8191,51,1.000000e+02,0,0,2,1
2183,9,997524,997524,51.1004,5636.18,3.4363,337.83,4.6416,16,1.244240e+01,0,0,2,1
2184,10,997688,997688,56.5602,2874.89,-0.1144,-5.74,14.4710,21,4.921760e-01,0,0,3,1
2185,10,997688,997688,55.4872,4410.15,4.1449,318.76,1.9113,20,1.125670e+01,0,1,3,1
2186,10,997688,997688,55.1702,4818.82,7.0731,593.37,-2.7304,21,1.276610e+01,0,1,3,1
2187,11,997852,997852,59.1504,1627.80,-0.3338,-9.48,-8.1911,18,5.713160e-03,1,0,2,1
2188,11,997852,997852,60.1758,3715.72,6.7090,434.10,1.0921,20,4.489950e+00,0,1,2,1
2189,12,998016,998016,66.7052,5276.15,4.2233,388.55,-7.6450,19,1.238300e+01,0,1,1,1
2190,13,998180,998180,0.0000,0.00,0.0000,0.00,0.0000,0,0.000000e+00,0,0,0,0
2191,14,998344,998344,75.1425,2371.04,12.4879,512.70,-1.6382,22,1.040790e-01,0,2,1,1
2192,15,998508,998508,82.8709,1840.28,1.3149,42.23,11.7406,22,2.422270e-02,1,0,2,1
2193,15,998508,998508,80.4308,1890.64,9.8157,322.32,2.1843,14,6.916940e-03,1,2,2,1
2194,16,998672,998672,88.5462,2538.16,-0.1952,-8.65,-1.0921,47,1.000000e+02,0,0,1,1
2195,0,998836,998836,0.0000,0.00,0.0000,0.00,0.0000,0,0.000000e+00,0,0,0,0
2196,1,999000,999000,10.9744,891.57,6.0467,93.92,-10.6484,16,1.021010e-04,1,1,1,1
2197,2,999164,999164,15.1309,495.83,2.9100,25.17,-7.9181,27,1.047290e-04,1,0,3,1
2198,2,999164,999164,15.1073,1965.07,2.0488,70.25,-11.7406,29,7.831890e-01,1,0,3,1
2199,2,999164,999164,15.7346,494.52,3.0785,26.56,-7.9181,20,2.879960e-05,1,1,3,1
2200,3,999328,999328,19.2159,888.88,-1.6684,-25.88,0.8191,47,2.814890e-01,1,0,3,1
2201,3,999328,999328,17.3860,499.41,2.8810,25.10,-7.6450,15,1.114250e-05,1,1,3,1
2202,3,999328,999328,21.8030,2778.52,10.6806,514.96,3.0034,18,1.576330e-01,0,2,3,1
2203,4,999492,999492,26.2069,1319.49,-1.3066,-30.09,-4.6416,14,6.224890e-02,1,0,14,1
2204,4,999492,999492,26.2129,1442.49,-1.0300,-25.93,-2.7304,22,2.033810e+00,1,0,14,1
2205,4,999492,999492,26.2378,1457.56,-0.6361,-16.18,3.0034,23,6.554020e-01,0,0,14,1
2206,4,999492,999492,26.2107,2489.99,-0.4027,-17.50,-2.1843,17,3.081650e+00,0,0,14,1
2207,4,999492,999492,24.6829,3931.21,0.0111,0.76,0.5461,59,1.000000e+02,0,0,14,1
2208,4,999492,999492,24.2702,4049.65,0.2609,18.44,13.9249,6,8.859050e+00,0,0,14,1
2209,4,999492,999492,21.1321,5079.96,-0.1642,-14.55,0.8191,26,1.000000e+02,0,0,14,1
2210,4,999492,999492,22.6903,5464.99,-1.6524,-157.59,55.9726,10,2.783770e+01,0,0,14,1
2211,4,999492,999492,23.7928,5894.81,-0.0852,-8.77,0.5461,58,1.000000e+02,0,0,14,1
2212,4,999492,999492,27.2890,7122.41,-0.0432,-5.37,60.3412,13,1.000000e+02,0,0,14,1
2213,4,999492,999492,28.0086,9693.29,0.4431,74.96,5.7338,14,1.000000e+02,0,0,14,1
2214,4,999492,999492,28.5999,9712.47,-0.1996,-33.84,-1.3652,20,1.000000e+02,0,0,14,1
2215,4,999492,999492,24.3272,11439.10,0.9819,196.04,0.5461,51,1.000000e+02,0,0,14,1
2216,4,999492,999492,25.8243,2707.24,5.5741,262.96,-2.1843,17,1.145960e-01,0,1,14,1
2217,5,999656,999656,0.0000,0.00,0.0000,0.00,0.0000,0,0.000000e+00,0,0,0,0
2218,6,999820,999820,36.0592,11466.80,0.3328,66.59,1.0921,19,1.000000e+02,0,0,3,1
2219,6,999820,999820,35.7321,2537.71,5.8659,259.36,-3.5495,19,1.138400e-01,0,1,3,1
2220,6,999820,999820,34.1738,2609.60,8.5897,389.76,6.0068,22,2.625920e-01,0,1,3,1
2221,7,999984,999984,38.9986,280.64,1.4647,7.17,4.9147,21,1.495950e-06,1,0,17,1
2222,7,999984,999984,36.6976,1437.61,-1.5771,-39.57,3.5495,20,4.275900e-02,1,0,17,1
2223,7,999984,999984,37.2507,1486.27,-0.7227,-18.75,-69.6244,9,1.192830e-02,1,0,17,1
2224,7,999984,999984,37.3230,1506.05,-0.7942,-20.88,24.8464,10,2.196270e-02,1,0,17,1
2225,7,999984,999984,39.9325,1729.68,-1.4278,-43.10,1.0921,29,7.059770e-01,1,0,17,1
2226,7,999984,999984,42.3616,1916.68,-1.2808,-42.84,-0.8191,36,3.223450e+00,1,0,17,1
2227,7,999984,999984,40.9892,2203.77,-0.5156,-19.83,16.3822,9,5.276090e-02,1,0,17,1
2228,7,999984,999984,38.2612,2304.68,0.6388,25.69,-46.1433,7,2.089770e-02,1,0,17,1
2229,7,999984,999984,39.4916,1746.22,-1.2230,-37.27,-10.1024,17,2.775360e-01,0,0,17,1
2230,7,999984,999984,39.7635,2467.13,-0.1886,-8.12,13.9249,10,4.111160e+00,0,0,17,1
2231,7,999984,999984,39.9084,2538.76,-0.2568,-11.38,0.5461,60,1.000000e+02,0,0,17,1
2232,7,999984,999984,39.6096,3065.56,-0.0811,-4.34,-42.3207,11,2.873220e+00,0,0,17,1
2233,7,999984,999984,38.3273,7237.94,-0.0414,-5.23,-1.0921,17,3.016450e+01,0,0,17,1
2234,7,999984,999984,36.4435,9113.39,-0.0197,-3.13,-1.9113,26,1.000000e+02,0,0,17,1
2235,7,999984,999984,39.3625,9499.22,0.2396,39.72,1.0921,26,1.000000e+02,0,0,17,1
2236,7,999984,999984,38.3233,10220.70,-0.5308,-94.68,1.6382,23,1.000000e+02,0,0,17,1
2237,7,999984,999984,38.8628,10718.30,0.0821,15.37,-0.5461,54,1.000000e+02,0,0,17,1
2238,8,1000148,1000148,43.9132,546.95,2.6790,25.56,-41.7747,10,4.017110e-06,1,0,14,1
2239,8,1000148,1000148,45.9153,598.33,1.3029,13.60,-29.7610,10,6.848530e-06,1,0,14,1
2240,8,1000148,1000148,42.4983,1245.49,-1.4559,-31.64,-0.5461,57,7.612420e+00,1,0,14,1
2241,8,1000148,1000148,43.8937,1916.06,-1.2177,-40.72,-0.8191,41,5.204300e+00,1,0,14,1
2242,8,1000148,1000148,45.2515,2037.66,-1.2864,-45.75,0.8191,43,8.638270e+00,1,0,14,1
2243,8,1000148,1000148,45.7475,2080.50,-1.1738,-42.62,1.0921,36,1.935820e+00,1,0,14,1
2244,8,1000148,1000148,41.2325,2657.35,0.8184,37.96,-58.9760,6,7.848010e-02,0,0,14,1
2245,8,1000148,1000148,47.6280,4315.24,4.2161,317.25,28.1228,11,1.529540e+00,0,0,14,1
2246,8,1000148,1000148,47.1114,5178.93,0.0614,5.55,0.5461,44,1.000000e+02,0,0,14,1
2247,8,1000148,1000148,48.9474,5631.60,0.5943,58.41,6.0068,23,3.068020e+01,0,0,14,1
2248,8,1000148,1000148,46.5391,10676.80,1.3761,256.40,31.9453,12,6.649740e+01,0,0,14,1
2249,8,1000148,1000148,44.4851,10815.70,0.0921,17.39,1.0921,23,1.000000e+02,0,0,14,1
2250,8,1000148,1000148,45.7243,11899.80,0.5578,115.84,2.1843,20,1.000000e+02,0,0,14,1
2251,8,1000148,1000148,46.6983,3234.13,5.0293,283.52,7.0990,16,4.797160e-01,0,1,14,1
2252,9,1000312,1000312,51.6353,1004.77,-2.0499,-35.94,-1.0921,42,7.666930e-02,1,0,3,1
2253,9,1000312,1000312,48.0434,2106.98,-1.1877,-43.67,0.8191,46,1.448460e+01,0,0,3,1
2254,9,1000312,1000312,50.4624,1913.67,13.1658,435.88,5.7338,15,8.783620e-03,0,2,3,1
2255,10,1000476,1000476,55.9139,956.96,-2.1136,-35.29,0.8191,50,3.831680e-01,1,0,3,1
2256,10,1000476,1000476,56.6053,1846.64,-1.3648,-43.98,0.8191,38,1.220290e+00,1,0,3,1
2257,10,1000476,1000476,56.7174,2849.64,0.8942,44.47,11.1945,24,1.051080e+00,0,0,3,1
2258,11,1000640,1000640,61.9788,429.52,3.4348,25.73,21.0239,10,1.455370e-06,1,0,6,1
2259,11,1000640,1000640,58.1359,1844.38,-1.3708,-44.12,1.0921,32,3.140740e-01,1,0,6,1
2260,11,1000640,1000640,60.0413,2130.95,0.8422,31.32,-1.6382,25,1.368740e-01,1,0,6,1
2261,11,1000640,1000640,58.3083,2827.21,0.8539,42.13,10.9215,20,6.884310e-01,0,0,6,1
2262,11,1000640,1000640,61.0862,4338.70,3.3339,252.31,-11.4676,20,2.178400e+01,0,0,6,1
2263,11,1000640,1000640,58.5869,4823.05,6.7411,566.14,-4.3686,14,4.102740e+00,0,1,6,1
2264,12,1000804,1000804,62.5672,4360.89,1.9704,149.94,-11.4676,16,8.586960e+00,0,0,3,1
2265,12,1000804,1000804,65.3190,5348.08,4.3302,403.80,-10.6484,27,8.135280e+01,0,0,3,1
2266,12,1000804,1000804,66.1927,5346.34,4.3443,404.98,-10.6484,25,4.087740e+01,0,1,3,1
2267,13,1000968,1000968,0.0000,0.00,0.0000,0.00,0.0000,0,0.000000e+00,0,0,0,0
2268,14,1001132,1001132,76.8162,2371.38,12.2830,504.49,-1.9113,20,1.117770e-01,0,2,1,1
2269,15,1001296,1001296,83.6352,1799.00,1.1391,35.76,14.7440,17,1.193340e-02,1,0,1,1
2270,16,1001460,1001460,87.0773,4506.81,4.3155,339.13,38.2252,13,3.532690e+00,0,1,1,1
2271,0,1001624,1001624,4.6000,2132.97,5.5651,206.85,9.0102,15,1.353740e-02,1,1,1,1
2272,1,1001788,1001788,0.0000,0.00,0.0000,0.00,0.0000,0,0.000000e+00,0,0,0,0
2273,2,1001952,1001952,18.1627,506.55,2.6815,23.70,-7.9181,26,9.839850e-05,1,0,3,1
2274,2,1001952,1001952,15.1814,1995.85,2.6520,92.35,-11.7406,28,7.015970e-01,1,0,3,1
2275,2,1001952,1001952,12.9262,932.65,5.7843,94.00,2.4573,20,2.112450e-04,1,1,3,1
2276,3,1002116,1002116,22.3086,2753.34,5.1099,245.23,5.4607,20,2.390570e-01,0,1,2,1
2277,3,1002116,1002116,22.8025,3160.58,4.9879,274.80,51.6040,14,2.610130e-01,0,1,2,1
2278,4,1002280,1002280,27.0263,1316.27,-1.3437,-30.87,-4.6416,16,1.032630e-01,1,0,18,1
2279,4,1002280,1002280,26.3697,1442.27,-1.0611,-26.71,5.4607,18,6.536220e-01,1,0,18,1
2280,4,1002280,1002280,26.0491,1457.58,-0.6844,-17.41,1.6382,25,1.161020e+00,0,0,18,1
2281,4,1002280,1002280,26.0800,2417.95,-0.1682,-7.10,46.9624,9,2.153320e-01,0,0,18,1
2282,4,1002280,1002280,26.9230,2466.87,-0.3783,-16.29,13.6519,11,6.924020e-01,0,0,18,1
2283,4,1002280,1002280,24.6963,3931.23,0.0205,1.40,-0.5461,58,1.000000e+02,0,0,18,1
2284,4,1002280,1002280,23.2206,5129.62,0.6734,60.29,0.8191,22,1.000000e+02,0,0,18,1
2285,4,1002280,1002280,23.9426,5879.11,-0.1884,-19.33,2.7304,26,1.000000e+02,0,0,18,1
2286,4,1002280,1002280,23.8083,5894.82,-0.0957,-9.84,-0.5461,58,1.000000e+02,0,0,18,1
2287,4,1002280,1002280,23.8170,5944.08,-0.0850,-8.82,0.8191,19,1.000000e+02,0,0,18,1
2288,4,1002280,1002280,27.8098,7098.17,-0.4998,-61.91,37.4061,6,1.000000e+02,0,0,18,1
