CPI序号,波位号,时间戳(ms),帧间隔(ms),目标数,有效点迹数,宽脉冲数,窄脉冲数,最小距离(m),最大距离(m),最小速度(m/s),最大速度(m/s),正高度点数,负高度点数(地杂波)
102,14,914704,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
103,15,914868,164,1,1,1,0,5947.2,5947.2,30.31,30.31,1,0
104,16,915032,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
105,0,915196,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
106,1,915360,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
107,2,915524,164,1,1,0,1,1289.4,1289.4,-12.01,-12.01,1,0
108,3,915688,164,1,1,0,1,1289.2,1289.2,-12.01,-12.01,1,0
109,4,915852,164,15,15,11,4,1324.1,11439.2,-67.71,38.50,6,9
110,5,916016,164,1,1,1,0,2778.8,2778.8,-6.28,-6.28,1,0
111,6,916180,164,1,1,1,0,7094.0,7094.0,1.91,1.91,1,0
112,7,916344,164,13,13,9,4,1506.8,10717.9,-42.32,113.11,7,6
113,8,916508,164,3,3,3,0,2356.4,4701.6,-11.52,113.11,2,1
114,9,916672,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
115,10,916836,164,3,3,3,0,3594.5,4671.9,-3.28,0.82,3,0
116,11,917000,164,1,1,0,1,1533.2,1533.2,-9.28,-9.28,1,0
117,12,917164,164,2,2,1,1,1792.7,3858.8,-3.55,6.28,2,0
118,13,917328,164,1,1,1,0,2682.4,2682.4,16.66,16.66,1,0
119,14,917492,164,1,1,1,0,4967.0,4967.0,3.55,3.55,1,0
120,15,917656,164,3,3,3,0,2539.3,9904.2,-47.78,-1.37,2,1
121,16,917820,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
122,0,917984,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
123,1,918148,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
124,2,918312,164,2,2,0,2,1319.1,1322.1,-12.01,7.37,2,0
125,3,918476,164,1,1,0,1,1319.9,1319.9,-12.01,-12.01,1,0
126,4,918640,164,17,17,16,1,741.4,11439.4,-57.61,67.71,11,6
127,5,918804,164,2,2,0,2,741.0,1196.5,8.46,9.05,2,0
128,6,918968,164,2,2,2,0,4641.2,7100.4,-3.28,103.66,2,0
129,7,919132,164,16,16,12,4,1432.3,11204.3,-64.44,99.54,7,9
130,8,919296,164,5,5,4,1,2088.7,11129.2,-5.73,5.73,5,0
131,9,919460,164,5,5,5,0,1962.7,12705.2,-13.11,6.83,3,2
132,10,919624,164,2,2,2,0,2107.0,4699.3,-3.28,-1.37,2,0
133,11,919788,164,2,2,1,1,1534.3,3907.5,-9.01,-8.19,1,1
134,12,919952,164,2,2,1,1,1414.3,2417.7,-0.82,3.82,1,1
135,13,920116,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
136,14,920280,164,1,1,1,0,2586.5,2586.5,-1.37,-1.37,0,1
137,15,920444,164,3,3,2,1,2248.1,4530.8,-6.83,0.82,2,1
138,16,920608,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
139,0,920772,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
140,1,920936,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
141,2,921100,164,3,3,1,2,1292.8,2993.3,-11.74,8.46,3,0
142,3,921264,164,1,1,0,1,1360.0,1360.0,-11.74,-11.74,1,0
143,4,921428,164,15,15,14,1,717.7,11439.0,-51.06,47.51,7,8
144,5,921592,164,1,1,1,0,3379.3,3379.3,-0.82,-0.82,0,1
145,6,921756,164,2,2,2,0,4377.2,5803.8,21.84,86.38,2,0
146,7,921920,164,16,16,13,3,1727.9,10718.2,-33.86,86.38,7,9
147,8,922084,164,2,2,2,0,3451.0,4677.7,-7.10,6.83,1,1
148,9,922248,164,1,1,0,1,1074.0,1074.0,-1.64,-1.64,1,0
149,10,922412,164,3,3,3,0,2537.7,4676.0,-4.10,2.46,3,0
150,11,922576,164,2,2,1,1,524.1,2417.9,-41.50,-1.91,2,0
151,12,922740,164,1,1,0,1,1965.2,1965.2,8.46,8.46,1,0
152,13,922904,164,2,2,1,1,1488.7,2609.3,-2.18,5.73,2,0
153,14,923068,164,1,1,1,0,2779.3,2779.3,9.01,9.01,0,1
154,15,923232,164,1,1,1,0,2680.7,2680.7,-1.37,-1.37,0,1
155,16,923396,164,2,2,2,0,2659.0,12615.7,-46.69,-6.55,2,0
156,0,923560,164,1,1,0,1,2038.6,2038.6,67.71,67.71,1,0
157,1,923724,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
158,2,923888,164,2,2,0,2,1268.5,1386.2,-11.74,8.46,2,0
159,3,924052,164,1,1,0,1,1387.9,1387.9,-11.74,-11.74,1,0
160,4,924216,164,15,15,13,2,710.8,11439.1,-68.81,52.15,8,7
161,5,924380,164,1,1,1,0,2802.4,2802.4,-3.00,-3.00,1,0
162,6,924544,164,3,3,3,0,4142.5,11487.6,-4.37,74.86,3,0
163,7,924708,164,14,14,11,3,382.4,10718.6,-17.20,47.51,9,5
164,8,924872,164,5,5,3,2,1027.2,4654.6,-3.00,9.28,3,2
165,9,925036,164,3,3,1,2,1392.3,3642.0,-5.19,0.82,1,2
166,10,925200,164,2,2,2,0,3595.1,4817.6,-4.10,1.37,2,0
167,11,925364,164,2,2,1,1,522.4,3953.9,-46.14,-5.19,2,0
168,12,925528,164,3,3,3,0,2633.8,3954.4,-13.11,-4.37,3,0
169,13,925692,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
170,14,925856,164,2,2,2,0,4912.9,4913.6,13.92,14.20,2,0
171,15,926020,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
172,16,926184,164,2,2,0,2,1634.0,1697.6,1.09,12.56,0,2
173,0,926348,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
174,1,926512,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
175,2,926676,164,3,3,1,2,1240.4,2217.1,-178.52,7.92,3,0
176,3,926840,164,1,1,0,1,1418.1,1418.1,-11.74,-11.74,1,0
177,4,927004,164,13,13,12,1,692.4,11439.4,-66.89,66.35,8,5
178,5,927168,164,3,3,3,0,2777.3,3971.4,7.65,57.59,3,0
179,6,927332,164,4,4,4,0,3966.4,11486.6,-1.37,57.59,3,1
180,7,927496,164,16,16,12,4,1418.1,12087.1,-3.55,53.79,6,10
181,8,927660,164,4,4,2,2,691.1,4647.8,-0.82,3.55,3,1
182,9,927824,164,1,1,0,1,1391.0,1391.0,-0.82,-0.82,0,1
183,10,927988,164,2,2,2,0,4722.0,4837.6,-3.55,-1.91,2,0
184,11,928152,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
185,12,928316,164,1,1,1,0,3906.3,3906.3,-3.28,-3.28,1,0
186,13,928480,164,2,2,1,1,1917.9,2658.0,-9.28,-3.28,2,0
187,14,928644,164,1,1,1,0,4892.7,4892.7,4.64,4.64,1,0
188,15,928808,164,3,3,1,2,2158.1,4577.3,-4.64,3.28,2,1
189,16,928972,164,3,3,1,2,1343.7,5032.9,-57.88,1.91,2,1
190,0,929136,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
191,1,929300,164,2,2,1,1,1577.5,2033.3,-68.81,5.73,2,0
192,2,929464,164,1,1,0,1,1457.4,1457.4,-11.74,-11.74,1,0
193,3,929628,164,1,1,0,1,669.0,669.0,9.56,9.56,1,0
194,4,929792,164,17,17,14,3,666.9,11439.3,-54.06,46.96,9,8
195,5,929956,164,3,3,3,0,2753.2,3849.5,14.47,40.31,3,0
196,6,930120,164,2,2,1,1,815.8,3666.0,2.46,15.29,1,1
197,7,930284,164,17,17,12,5,1028.7,11445.1,-43.14,31.67,8,9
198,8,930448,164,2,2,2,0,3378.7,4648.6,-5.73,6.28,1,1
199,9,930612,164,3,3,0,3,1394.0,2135.4,-1.09,1.09,0,3
200,10,930776,164,2,2,1,1,1918.3,4817.9,-1.64,0.82,1,1
